-35,-30,-39,-35
-47,-108,-46,-80
132,304,78,364
381,499,138,375
263,206,379,187
328,43,477,-178
-58,522,256,541
533,359,598,463
65,-110,399,371
-335,-279,-23,-553
-363,-599,-540,-632
-322,236,-352,142
196,495,132,336
49,-253,422,-155
-234,-335,-287,-287
-249,-101,-317,-179
-114,-44,-169,-98
86,417,139,85
-86,103,-140,96
-568,-170,-576,-167
81,-120,57,64
3,-764,91,-774
-708,-229,-703,-237
-590,-500,-538,-485
35,43,-516,-543
-7,-182,-561,-548
-259,-341,-547,-548
-444,-540,-540,-534
-593,-609,-531,-540
-571,-529,-522,-486
-478,-237,-454,-159
189,-465,193,-497
-455,-451,-449,-446
-456,-450,-400,-513
-556,-566,-440,-137
-483,-469,258,499
-433,-235,-181,-176
-28,-124,-64,-178
98,-310,160,-517
94,338,169,378
261,288,353,340
323,341,291,291
299,275,224,276
-25,-110,41,-163
-54,-63,-159,-151
-82,-107,-88,7
-117,-130,112,169
-46,385,200,401
69,153,159,22
359,252,417,364
509,-190,378,58
531,552,497,614
546,474,499,497
394,223,312,106
-150,-606,-143,-577
-596,-651,-610,-655
-332,55,-301,3
83,235,81,135
409,6,284,-72
-246,-217,40,-82
-235,-153,-96,-161
-73,-149,-206,-166
100,-172,120,-148
-138,55,-59,105
-596,-366,-593,-344
-102,185,-295,-316
-72,-745,-23,-750
-709,-283,-715,-239
-590,-529,-576,-522
-522,-511,-530,-529
-497,-493,-518,-505
-513,-526,-497,-495
-537,-558,-533,-542
-561,-565,-547,-561
-543,-465,-525,-445
-435,-60,-396,13
196,-502,190,-483
-480,-361,-298,-224
-424,-237,-62,152
55,436,537,361
415,279,299,479
499,-182,-353,-369
-119,-103,-188,96
72,-608,-235,-543
205,-95,180,-143
-217,-172,119,313
-78,94,442,496
206,426,558,603
393,378,626,642
455,546,654,656
632,665,653,649
704,710,650,646
707,408,666,457
470,373,412,527
418,438,502,413
303,118,354,-88
-3,315,11,113
512,487,389,71
394,155,-71,-97
-88,-507,-150,-471
-628,-643,-635,-608
-238,-18,-142,-57
-48,0,-150,-11
205,-353,-45,-573
48,112,168,367
36,-46,240,128
-141,-336,11,-212
-20,-145,8,104
162,3,264,23
-697,1,-6,-46
506,139,92,52
155,-780,64,-777
-724,-222,-724,-159
-564,-507,-510,-452
-501,-491,-442,-428
-458,-416,-452,-439
-438,-474,-274,-219
-545,-592,-444,-339
-588,-560,-413,-571
-516,-449,-504,-463
-337,75,-271,112
217,-308,229,0
-35,126,194,346
270,565,611,144
259,307,236,-17
281,-459,-570,-557
-535,-170,-265,176
-241,199,-51,83
-479,-420,-670,-359
251,484,265,428
557,608,402,553
607,612,637,634
595,620,643,659
635,651,685,701
672,676,699,685
685,696,684,682
699,666,667,636
696,457,670,469
326,526,388,456
484,308,441,201
403,306,373,424
42,287,292,523
204,-478,-136,-284
-414,-183,-70,-230
-251,-486,-429,-412
-646,-514,-608,-353
-70,-127,-61,-267
-293,-143,-428,-443
-435,-513,-472,-405
30,474,-161,451
308,318,434,343
258,-60,246,172
74,119,232,101
138,77,122,69
348,313,417,378
98,-67,449,485
-245,-765,305,-765
-723,-117,-729,-122
-502,-466,-506,-463
-450,-448,-452,-481
-187,-120,-54,1
-9,7,-114,-169
-125,3,-170,-135
-299,-583,-345,-577
-504,-468,-532,-549
-175,131,-120,183
288,183,249,655
452,453,411,358
65,367,408,-346
-161,-638,-526,-262
-583,-454,-173,28
-181,-66,33,155
222,59,70,290
-3,230,521,509
371,466,470,552
516,674,691,709
667,702,736,770
712,717,766,740
712,717,728,726
711,684,698,682
673,671,671,655
646,617,634,596
632,466,617,514
325,496,395,592
538,71,450,8
318,373,303,350
480,306,523,6
-265,-117,-274,-72
86,-248,180,82
-456,-238,-68,-210
-452,-208,-407,-179
-113,-429,-190,-521
-520,-120,-549,155
-439,-434,-445,-556
-300,406,-553,-46
294,245,332,71
295,55,-373,-567
-72,-87,-533,-205
161,130,66,127
492,442,495,458
469,471,469,497
300,-765,349,-765
-734,-125,-732,-55
-489,-519,-308,-54
-517,-529,-327,-296
-475,-166,-282,-282
-175,-170,-63,-157
-217,-183,-147,-178
-364,-488,111,402
-330,-179,481,542
150,253,581,567
225,-172,514,316
28,66,325,381
72,49,402,450
672,845,652,618
862,840,610,490
583,514,479,498
468,510,537,563
489,525,612,668
463,684,693,746
777,788,739,726
779,749,716,678
731,734,659,655
719,719,636,612
703,678,590,555
661,634,534,514
601,562,486,456
528,497,404,588
526,568,567,546
514,-45,624,21
285,400,381,400
104,-336,166,-438
-379,45,-209,73
178,49,-14,-176
-191,-447,-382,-530
-360,-184,-289,-270
-330,-591,-496,-579
-411,292,-354,341
-8,-184,280,290
-192,62,317,333
-7,-472,-371,-617
-473,-615,-608,-568
-235,-39,-217,39
20,14,64,-5
316,295,215,200
300,309,191,206
186,-763,88,-764
-757,-280,-702,277
-123,-97,108,124
-113,-95,505,494
-55,-50,491,471
66,-80,103,-97
-66,-98,303,-59
-36,13,56,201
86,131,52,23
170,203,29,92
231,231,78,83
270,301,126,335
378,655,470,649
931,779,560,862
768,585,579,566
677,759,339,427
763,776,645,656
766,728,648,629
707,678,614,582
664,649,545,505
616,598,520,473
